Ticker_Nome;Ticker;Nome;Market
SKIN - The Beauty Health Company - Class A Common Stock;SKIN;The Beauty Health Company - Class A Common Stock;Nasdaq
SKOR - FlexShares Credit-Scored US Corporate Bond Index Fund;SKOR;FlexShares Credit-Scored US Corporate Bond Index Fund;Nasdaq
SKRE - Tuttle Capital Daily 2X Inverse Regional Banks ETF;SKRE;Tuttle Capital Daily 2X Inverse Regional Banks ETF;Nasdaq
SKWD - Skyward Specialty Insurance Group, Inc. - Common Stock;SKWD;Skyward Specialty Insurance Group, Inc. - Common Stock;Nasdaq
SKYE - Skye Bioscience, Inc. - Common Stock;SKYE;Skye Bioscience, Inc. - Common Stock;Nasdaq
SKYT - SkyWater Technology, Inc. - Common Stock;SKYT;SkyWater Technology, Inc. - Common Stock;Nasdaq
SKYU - ProShares Ultra Cloud Computing;SKYU;ProShares Ultra Cloud Computing;Nasdaq
SKYW - SkyWest, Inc. - Common Stock;SKYW;SkyWest, Inc. - Common Stock;Nasdaq
SKYX - SKYX Platforms Corp. - Common Stock;SKYX;SKYX Platforms Corp. - Common Stock;Nasdaq
SKYY - First Trust Cloud Computing ETF;SKYY;First Trust Cloud Computing ETF;Nasdaq
SLAB - Silicon Laboratories, Inc. - Common Stock;SLAB;Silicon Laboratories, Inc. - Common Stock;Nasdaq
SLAM - Slam Corp. - Class A Ordinary Share;SLAM;Slam Corp. - Class A Ordinary Share;Nasdaq
SLAMU - Slam Corp. - Unit;SLAMU;Slam Corp. - Unit;Nasdaq
SLAMW - Slam Corp. - warrant;SLAMW;Slam Corp. - warrant;Nasdaq
SLDB - Solid Biosciences Inc. - Common Stock;SLDB;Solid Biosciences Inc. - Common Stock;Nasdaq
SLDP - Solid Power, Inc. - Class A Common Stock;SLDP;Solid Power, Inc. - Class A Common Stock;Nasdaq
SLDPW - Solid Power, Inc. - Warrant;SLDPW;Solid Power, Inc. - Warrant;Nasdaq
SLE - Super League Enterprise, Inc. - Common Stock;SLE;Super League Enterprise, Inc. - Common Stock;Nasdaq
SLGL - Sol-Gel Technologies Ltd. - Common Stock;SLGL;Sol-Gel Technologies Ltd. - Common Stock;Nasdaq
SLM - SLM Corporation - Common Stock;SLM;SLM Corporation - Common Stock;Nasdaq
SLMBP - SLM Corporation - Floating Rate Non-Cumulative Preferred Stock, Series B;SLMBP;SLM Corporation - Floating Rate Non-Cumulative Preferred Stock, Series B;Nasdaq
SLN - Silence Therapeutics Plc - American Depository Share;SLN;Silence Therapeutics Plc - American Depository Share;Nasdaq
SLNA - Selina Hospitality PLC - Ordinary Shares;SLNA;Selina Hospitality PLC - Ordinary Shares;Nasdaq
SLNAW - Selina Hospitality PLC - Warrant;SLNAW;Selina Hospitality PLC - Warrant;Nasdaq
SLNG - Stabilis Solutions, Inc. - Common Stock;SLNG;Stabilis Solutions, Inc. - Common Stock;Nasdaq
SLNH - Soluna Holdings, Inc. - Common Stock;SLNH;Soluna Holdings, Inc. - Common Stock;Nasdaq
SLNHP - Soluna Holdings, Inc. - 9.0% Series A Cumulative Perpetual Preferred Stock;SLNHP;Soluna Holdings, Inc. - 9.0% Series A Cumulative Perpetual Preferred Stock;Nasdaq
SLNO - Soleno Therapeutics, Inc. - Common Stock;SLNO;Soleno Therapeutics, Inc. - Common Stock;Nasdaq
SLP - Simulations Plus, Inc. - Common Stock;SLP;Simulations Plus, Inc. - Common Stock;Nasdaq
SLQD - iShares 0-5 Year Investment Grade Corporate Bond ETF;SLQD;iShares 0-5 Year Investment Grade Corporate Bond ETF;Nasdaq
